timestamp,group_seed,username,hash_mode,pepper,rate_limiting,lockout,captcha,totp,result,latency_ms
"2026-01-05 20:01:51,067",526338897,alex,sha256_salt,False,False,False,False,False,ok,0.015000347048044205
"2026-01-05 20:01:51,067",526338897,sam,sha256_salt,False,False,False,False,False,bad_password,0.009200070053339005
"2026-01-05 20:01:51,068",526338897,charlie,sha256_salt,False,False,False,False,False,bad_password,0.008400063961744308
"2026-01-05 20:01:51,068",526338897,jordan,sha256_salt,False,False,False,False,False,bad_password,0.008599832653999329
"2026-01-05 20:01:51,068",526338897,taylor,sha256_salt,False,False,False,False,False,bad_password,0.005399808287620544
"2026-01-05 20:01:51,068",526338897,morgan,sha256_salt,False,False,False,False,False,bad_password,0.004500150680541992
"2026-01-05 20:01:51,068",526338897,chris,sha256_salt,False,False,False,False,False,bad_password,0.0029001384973526
"2026-01-05 20:01:51,068",526338897,jamie,sha256_salt,False,False,False,False,False,bad_password,0.00800006091594696
"2026-01-05 20:01:51,068",526338897,pat,sha256_salt,False,False,False,False,False,bad_password,0.003300141543149948
"2026-01-05 20:01:51,068",526338897,robin,sha256_salt,False,False,False,False,False,bad_password,0.004500150680541992
"2026-01-05 20:01:51,068",526338897,casey,sha256_salt,False,False,False,False,False,bad_password,0.003200024366378784
"2026-01-05 20:01:51,068",526338897,jules,sha256_salt,False,False,False,False,False,bad_password,0.002800021320581436
"2026-01-05 20:01:51,068",526338897,max,sha256_salt,False,False,False,False,False,bad_password,0.006100162863731384
"2026-01-05 20:01:51,070",526338897,ava,sha256_salt,False,False,False,False,False,bad_password,0.004500150680541992
"2026-01-05 20:01:51,070",526338897,lily,sha256_salt,False,False,False,False,False,bad_password,0.004299916326999664
"2026-01-05 20:01:51,070",526338897,leo,sha256_salt,False,False,False,False,False,bad_password,0.002699904143810272
"2026-01-05 20:01:51,070",526338897,sophie,sha256_salt,False,False,False,False,False,bad_password,0.003200024366378784
"2026-01-05 20:01:51,070",526338897,mia,sha256_salt,False,False,False,False,False,bad_password,0.004500150680541992
