timestamp,group_seed,username,hash_mode,rate_limiting,lockout,captcha,totp,result,latency_ms
"2026-01-05 19:26:55,895",526338897,alex,,False,True,False,False,ok,0.03939983434975147
"2026-01-05 19:26:55,895",526338897,sam,,False,True,False,False,bad_password,0.018900027498602867
"2026-01-05 19:26:55,896",526338897,charlie,,False,True,False,False,bad_password,0.009299954399466515
"2026-01-05 19:26:55,896",526338897,jordan,,False,True,False,False,bad_password,0.006800051778554916
"2026-01-05 19:26:55,896",526338897,taylor,,False,True,False,False,bad_password,0.006299931555986404
"2026-01-05 19:26:55,896",526338897,morgan,,False,True,False,False,bad_password,0.006299931555986404
"2026-01-05 19:26:55,896",526338897,chris,,False,True,False,False,bad_password,0.009999843314290047
"2026-01-05 19:26:55,897",526338897,jamie,,False,True,False,False,bad_password,0.013499986380338669
"2026-01-05 19:26:55,897",526338897,pat,,False,True,False,False,bad_password,0.007899943739175797
"2026-01-05 19:26:55,897",526338897,robin,,False,True,False,False,bad_password,0.00800006091594696
"2026-01-05 19:26:55,897",526338897,casey,,False,True,False,False,bad_password,0.007600057870149612
"2026-01-05 19:26:55,898",526338897,jules,,False,True,False,False,bad_password,0.009799841791391373
"2026-01-05 19:26:55,898",526338897,max,,False,True,False,False,bad_password,0.005299923941493034
"2026-01-05 19:26:55,898",526338897,ava,,False,True,False,False,bad_password,0.007400056347250938
"2026-01-05 19:26:55,898",526338897,lily,,False,True,False,False,bad_password,0.00909995287656784
"2026-01-05 19:26:55,899",526338897,leo,,False,True,False,False,bad_password,0.0073998235166072845
"2026-01-05 19:26:55,899",526338897,sophie,,False,True,False,False,bad_password,0.007400056347250938
"2026-01-05 19:26:55,899",526338897,mia,,False,True,False,False,bad_password,0.0036999117583036423
"2026-01-05 19:26:55,899",526338897,ethan,,False,True,False,False,bad_password,0.004299916326999664
"2026-01-05 19:26:55,899",526338897,oliver,,False,True,False,False,bad_password,0.004499917849898338
"2026-01-05 19:26:55,899",526338897,nina,,False,True,False,False,bad_password,0.006600050255656242
"2026-01-05 19:26:55,899",526338897,daniel,,False,True,False,False,bad_password,0.00409991480410099
"2026-01-05 19:26:55,899",526338897,user123,,False,True,False,False,bad_password,0.004100147634744644
"2026-01-05 19:26:55,900",526338897,sunnyday,,False,True,False,False,bad_password,0.003600027412176132
"2026-01-05 19:26:55,900",526338897,gamer01,,False,True,False,False,bad_password,0.004100147634744644
"2026-01-05 19:26:55,900",526338897,starrynight,,False,True,False,False,bad_password,0.0028999056667089462
"2026-01-05 19:26:55,900",526338897,midnightwolf,,False,True,False,False,bad_password,0.003800028935074806
"2026-01-05 19:26:55,900",526338897,coffee_addict,,False,True,False,False,bad_password,0.003600027412176132
"2026-01-05 19:26:55,900",526338897,bluebird,,False,True,False,False,bad_password,0.005899928510189056
"2026-01-05 19:26:55,900",526338897,explorer,,False,True,False,False,bad_password,0.0030999071896076202
"2026-01-05 19:26:55,901",526338897,sam,,False,True,False,False,bad_password,0.008600065484642982
"2026-01-05 19:26:55,901",526338897,charlie,,False,True,False,False,bad_password,0.004500150680541992
"2026-01-05 19:26:55,901",526338897,jordan,,False,True,False,False,bad_password,0.007200054824352264
